AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID,Churn
51,14.66726462542966,748.0304958969127,Standard,Mailed check,Yes,Both,No,Mobile,35.04251769439962,98.04601367382536,40,Comedy,1.727988914308988,3,Male,9,No,No,RC0J4HVKCM,0
52,18.197799213415784,946.2855590976208,Basic,Electronic check,Yes,Both,Yes,Tablet,2.4944297852121213,33.86679722591663,7,Comedy,3.3445427191585724,9,Female,21,No,Yes,SCAAP6TUMR,1
84,8.583020125172052,720.9736905144523,Premium,Electronic check,No,TV Shows,Yes,Tablet,4.2043014737427775,45.791061753976614,36,Sci-Fi,2.2113138555252436,3,Female,13,No,Yes,Q11O8RF8Q1,0
90,9.939657212428813,894.569149118593,Basic,Electronic check,Yes,Movies,Yes,Computer,3.2236464774426645,56.52855251007906,1,Fantasy,1.6609401349160282,3,Female,14,No,No,AJ5Y8W0S2L,0
23,15.406996617199152,354.36092219558054,Basic,Electronic check,No,Both,No,TV,25.12777738130429,98.27632466760224,10,Sci-Fi,4.468648968943555,7,Male,13,Yes,Yes,V9Z9YY5YS3,1
99,17.014183987489318,1684.4042147614423,Premium,Mailed check,No,TV Shows,Yes,Mobile,29.398763168862686,12.02380186486754,35,Sci-Fi,3.278318441842034,1,Male,24,Yes,Yes,N3OL02TTB3,0
21,15.490316924308956,325.29665541048803,Premium,Electronic check,Yes,TV Shows,No,Computer,1.9119674616005216,34.05131193303041,1,Comedy,3.580620199117403,4,Female,6,Yes,Yes,3XJSSUZ3W7,1
4,13.679972856523976,54.7198914260959,Basic,Mailed check,No,TV Shows,Yes,Computer,13.213297218291428,16.15349389345534,36,Comedy,3.451462189969198,2,Female,22,No,Yes,QBK9G5DPGO,0
97,5.895457272850134,571.859355466463,Premium,Credit card,No,TV Shows,Yes,Mobile,27.945425289107277,147.26753082518678,7,Sci-Fi,1.3568415897210118,9,Male,10,No,Yes,93J3JSPKVX,0
11,18.171390346239008,199.8852938086291,Standard,Mailed check,No,TV Shows,No,Mobile,2.0717651795091645,48.08930978526296,44,Drama,1.2077913673587166,3,Male,13,No,No,TN405B2BTX,0
22,10.788073999994465,237.33762799987815,Premium,Mailed check,Yes,TV Shows,Yes,Tablet,14.895361406088572,10.526912160223524,34,Sci-Fi,2.8093142563245603,6,Male,20,Yes,No,H990F2C1VA,0
